title,release_year,production_company,distributor,director,writer,actor_1,actor_2,actor_3,location_funfact,movie_like_counter,location_like_counter
Freebie and the Bean,1974,Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,"{""Stockton Tunnel (Stockton Street at Sutter Street)"": ""Opened in 1914, the Stockton Tunnel was built to provide North Beach residents access to the thriving downtown area."", ""Broadway and Columbus Avenue (North Beach)"": """", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Candlestick Park (602 Jamestown Ave.)"": ""Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park."", ""Twin Peaks"": ""The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area \""called the area \u201cLos Pechos de la Chola\u201d or \""Breasts of the Indian Maiden,\"" but in the 19th Century when America took over the area, it was renamed \""Twin Peaks\""."", ""Nob Hill"": ""Railroad tycoons like Leland Stanford (founder of Stanford University) lived in Nob Hill at the turn of the 20th Century. The 1906 earthquake completely destroyed Nob Hill, with the exception of the wall that surrounded the mansions of Stanford and his neighbor Mark Hopkins."", ""Steinhart Aquarium (California Academy of Sciences, Golden Gate Park)"": ""The Steinhart Aquarium is home to over 38,000 animals, which represent more than 900 species."", ""Alco Plaza"": """", ""Hyatt Regency Hotel (5 Embarcadero Center)"": """", ""TransAmerica Pyramid (600 Montgomery Street)"": ""The Pyramid was the tallest skyscraper west of the Mississippi from 1972-1974, until it was surpassed by Los Angeles' Aon Center."", ""Potrero Hill"": ""The most crooked street in San Francisco is actually Potrero Hill's Vermont Street between 20th St & 22nd St."", ""Embarcadero Freeway"": """", ""Folsom Street (SOMA)"": """"}",0,0
The Right Stuff,1983,The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,"{""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Cow Palace"": ""Supposedly, the Cow Palace's name derives from a newspaper editorial in which the writer wonders whether the soon-to-be-built structure for livestock was a \""palace for cows\"". "", ""American Can Company (Between Illinois & Kentucky, 20th and 22nd Streets)"": """", ""Financial District"": """"}",0,0
Doctor Dolittle,1998,Twentieth Century Fox Film Cooperation,Twentieth Century Fox Film Cooperation,Betty Thomas,Nat Mauldin,Eddie Murphy,Ossie Davis,,"{""Webster Street"": """", ""Telegraph Hill Blvd (Telegraph Hill)"": """", ""Larkin & Hyde Streets"": """", ""Gabbiano's Restaurant (Ferry Building)"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way."", ""2107 Union Street"": """", ""2100 Green Street"": """"}",0,0
Getting Even with Dad,1994,Metro-Goldwyn-Mayer (MGM),Metro-Goldwyn-Mayer (MGM),Howard Dutch,Tom S. Parker,Macaulay Culkin,Ted Danson,,"{""California & Grant Streets"": """", ""War Memorial Building (401 Van Ness Avenue)"": """", ""Transbay Terminal (Mission Street at 1st Street)"": ""Built in 1939, the Terminal linked San Francisco, the East Bay, and Sacramento by rail for the first time."", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Neiman Marcus (150 Stockton Street, Union Square)"": ""The City of Paris department store previously occupied the space that now houses Neiman Marcus. City of Paris' original rotunda and glass dome were incorporated into Neiman Marcus' design."", ""Mason Street at Jackson"": """", ""Embarcadero Street Station- BART"": """", ""140 Maiden Lane"": """", ""Embarcadero Street Station- BART "": """", ""Candlestick Park (602 Jamestown Ave.)"": ""Then Vice President Richard Nixon threw out the first pitch when Candlestick opened in 1960. On August 29, 1966, The Beatles played their last concert for paying fans at Candlestick Park."", ""M.H. de Young Memorial Museum (Golden Gate Park)"": """"}",0,0
Dopamine,2003,Kontent Films,Sundance Channel Home Entertainment,Mark Decena,Mark Decena & Timothy Breitbach,John Livingston,Sabrina Lloyd,,"{""South Park (Between 2nd and 3rd Streets, Brannan and Bryant Streets)"": """", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF.""}",0,0
Godzilla,2014,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,"{""Post & Jones St."": """", ""Broadway & Columbus"": """", ""Kearney & Pine St."": """", ""California & Davis St"": """", ""Pine St. & Davis St"": """", ""Sacramento & Front St."": """", ""Broadway & Sansome"": """", ""Stockton & Clay St"": """", ""Bush & Kearny"": """", ""Mission & Fremont St"": """", ""Eddy & Taylor St."": """", ""Pier 7 (The Embarcadero)"": """", ""Pier 1"": """", ""Embarcadero & Washington"": """", ""Mission & Beal"": """", ""Potrero &San Bruno"": """"}",0,0
The Enforcer,1976,Warner Bros. Pictures,Warner Bros. Pictures,James Fargo,Stirling Silliphant,Clint Eastwood,Tyne Daly,Harry Guardino,"{""Balmy Street (Mission District)"": """", ""Sutter & Webster Streets"": """", ""Lefty O' Doul Drawbridge/ 3rd Street Bridge (3rd Street, China Basin)"": ""This is SF's only drawbridge, and was named after Francis Joseph \""Lefty\"" O'Doul, a local baseball hero."", ""23rd & Capp Streets (Mission District)"": """", ""24th Street Mini Park (Mission District)"": """", ""Hall of Justice"": """", ""Alcatraz Island"": ""Alcatraz Island was a military fort before it became a prison."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""Coit Tower"": ""The Tower was funded by a gift bequeathed by Lillie Hitchcock Coit, a socialite who reportedly liked to chase fires. Though the tower resembles a firehose nozzle, it was not designed this way.""}",0,0
Sense8,2015,"Unpronounceable Productions, LLC",Netflix,The Wachowskis,The Wachowskis,Jamie Clayton,,,"{""Harrison & 20th"": ""Driving shots"", ""Atlas Caf\u00e9, 3049 20th St."": ""Dialogue scene inside the caf\u00e9"", ""18th Street between Guerrero and Valencia Streets"": ""Re-enactment of \""Dyke's on Bikes\"" and \""Dyke March\"""", ""Clarion Alley between Valencia & Mission St."": ""Ladies discuss their relationship in the mural alley"", ""Folsom"": ""Driving shots"", ""16th St."": ""Driving shots"", ""S. Van Ness"": ""Driving shots"", ""22nd St."": ""Driving shots"", ""Harrison"": ""Driving shots"", ""20th"": ""Driving shots"", ""Z Space Studios; 450 Florida St."": ""Filming of the \""Fresh Meat\"" Festival"", ""375 Castro St. and 17th between Castro and Diamond St."": ""Chase sequence on bicycles ends at gas station"", ""Corbett St."": ""Bicycle chase scene, actors dressed as fake officers present"", ""Romain St."": ""Bicycle chase scene"", ""Market St. overpass"": ""Bicycle chase scene"", ""Grand View Ave."": ""Bicycle chase scene"", ""Vallejo Street Garage; 766 Vallejo St."": ""dialogue scene on top of a garage roof"", ""Laguna Honda Hospital; 375 Laguna Honda Blvd."": ""dialogue scene"", ""Irving St. at 9th Ave."": ""continuous driving shots of a taxi going with the flow of existing traffic"", ""Dolores Park, 20th St. between Church & Dolores St."": ""group of friends have a heated argument, then flashback of pre-argument"", ""Palace of Fine Arts: 3306 Lyon St."": ""Filming of \""Dyke's on Bikes\"" and \""Dyke March\"""", ""Van Ness and 12th St."": ""A couple reminisces on the moment they first fell in love"", ""\""Metzger's Apt\"" 151 Alice B. Toklas Pl."": ""Overnight scene involving aggressive arguments between actors, spfx shoot out involved""}",0,0
Never Die Twice,2001,Scott / Kelly Films,,Sean A.F. Scott,Sean A.F. Scott & Nancy L. Kelly,Claudia Christian,,,"{""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.""}",0,0
Dr. Dolittle 2,2001,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,"{""Building 924, Presidio (Golden Gate National Recreation Area)"": ""In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use."", ""Hyde Street & Lombard Street"": """", ""West Chrissy Field (Presidio, Golden Gate National Recreation Area)"": ""This movie was the first to film in the revamped Chrissy Field Picnic Area."", ""Broadway, Between Franklin & Laguna Streets"": """", ""Sacramento St., Between Pierce & Broderick Streets "": """", ""Sacramento St., Between Pierce & Broderick Streets"": """"}",0,0
High Crimes,2002,Twentieth Century Fox Film Corporation,Twentieth Century Fox Film Corporation,Mel Brooks,Mel Brooks,Mel Brooks,Madeline Kahn,,"{""Vesuvio Caf\u00e9 (255 Columbus Avenue)"": ""Jack Kerouac was a regular at the caf\u00e9."", ""Bank of America Building (555 California Street)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""391 Pennsylvania Avenue at 19th Street"": """", ""Union Square"": ""During the Civil War, pro-Union rallies were held in the Square, and thus the area was called \""Union Square\""."", ""Maiden Lane"": """", ""Condor Club (Columbus and Broadway)"": """", ""Chase H & Q  (1 Bush Street at Sansome)"": """"}",0,0
Terminator - Genisys,2015,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,"{""16th and Utah"": ""Helicopter flies over Utah St. from 16th, rises up before freeway"", ""Front St. between Market and Clay"": """", ""Van Ness between Fell and Lombard"": """", ""California between Leavenworth and Powell"": """", ""Mission at 1st and 2nd"": """", ""Market at Mason"": """", ""California at Larkin"": """", ""California at Jones"": """", ""Pine and Leavenworth"": """", ""Howard St. from Embarcadero to 11 St."": """", ""Construction Site in front of 260 Stockton St. at Post St."": """", ""California St. between Drumm St. and Kearny St."": """", ""Market St. at Embarcadero area"": """", ""Pine St. between Market and Kearny"": """", ""Union Square"": """", ""San Francisco - Oakland Bay Bridge"": """", ""Mission St., Embarcadero, and Front between Clay and Market"": """", ""Sutter Stockton Garage"": """", ""Bush St. at Stockton St."": """", ""Powell St at Geary St"": """", ""1 Market St. Landmark Building"": """", ""Embarcadero between Pier 2 and Harrison"": """", ""Pier 14"": """", ""Pine St. between Market and Montgomery"": """"}",0,0
Chance- Season 1 ep109,2016,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Cliffhouse, 1090 Point Lobos Ave."": """", ""850 Bryant- 6th floor County Jail"": ""The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene"", ""2 Rowland"": """", ""60 Leavenworth St."": """", ""Terry A. Francois Blvd. "": """", ""Ocean Park Motel"": """", ""Terry A. Francois Blvd."": """"}",0,0
Woman on Top,2000,Fox Searchlight Pictures,Fox Searchlight Pictures,Fina Torres,Vera Blasi,Penelope Cruz,,,"{""312 Fillmore Street"": """"}",0,0
Pushing Dead,2016,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,"{""Cordova Market, 301 Rolph Street, San Francisco"": """", ""42 Walter Street"": """", ""Mission Neibhrohood Health Cetner, 240 Shotweel Street"": """", ""Koshland Park"": """", ""Blind Cat, 3050 24th Street, San Francisco"": ""Pushing Dead won the Audience Award for  Frameline San Francisco International LGBTQ Film Festival \n2016"", ""1069 Tennessee Street"": """", ""Infield Batting Cages, 1888 Clement Street"": """", ""Daniel's Pharmacy, 943 Geneva Ave"": """", ""433 Baker Street, "": """", ""Ele Nino Traiing Cetner, 2920 3rd Street"": """", ""2930 3rd Street"": """", ""Octavia at Grove Street"": """", ""Double Happiness Health, 3380 20th Street"": """", ""915 Naples, San Francisco"": """", ""Uva Enoteca, 568 Haight Street"": """", ""Turk Street between Steiner and Scott Streets"": """", ""Church Street MUNI Station"": """", ""5th Ave @ Fulton Street in Golden Gate Park"": """", ""Hayes Street between Ashbury and Shrader"": """", ""Matching Half Caf\u00e9, 1799 McAllister Street"": """", ""433 Baker Street,"": """"}",0,0
The Dead Pool,1988,Warner Bros. Pictures,Warner Bros. Pictures,Buddy Van Horn,Harry Julian Fink,Clint Eastwood,Liam Neeson,Patricia Clarkson,"{""San Francisco Drydock (The Dogpatch)"": """", ""Hall of Justice (850 Bryant Street)"": """", ""McAllister & Scott Streets (Hayes Valley)"": """", ""One Thousand Powell Apartments (1000 Powell Street)"": """", ""Portsmouth Square (Chinatown)"": """", ""Washington Square Park (North Beach)"": ""Washington Square Park is not actually a square, as it has 5 sides. North Beach is not a beach. The statue in the Park is Ben Franklin, not George Washington."", ""Silver Restaurant (737 Washington Street, Chinatown)"": """", ""Pierce & California Streets (Pacific Heights)"": """", ""Pierce St. & Golden Gate Avenue (Hayes Valley)"": """", ""Mirant Energy, LLC (1301 Illinois Street, The Dogpatch)"": """", ""Folsom & Essex Streets"": """", ""New Asia Restaurant (772 Pacific Avenue at Grant)"": """", ""20th & De Haro Streets (Potrero Hill)"": """", ""22nd & Wisconsin Streets (Potrero Hill)"": """", ""1954 Mason Street (North Beach)"": """", ""550 El Camino Del Mar (Seacliff)"": """", ""23rd & Iowa Streets (Dogpatch)"": """", ""The Cannery (281 Leavenworth Street, Fisherman's Wharf)"": """", ""KGO-TV ABC7 TV Studios (900 Front Street, Waterfront Historic District)"": """", ""22nd Bet. Carolina & Rhode Island Streets (Potrero Hill)"": """", ""San Francisco National Military Cemetery (Lincoln Blvd., The Presidio, Golden Gate National Recreation Center)"": """", ""Fremont Street Exit of Bay Bridge"": """", ""Clementina & Sumner Streets"": """", ""710 Steiner Street (Hayes Valley)"": """", ""Nam Yuen Restaurant (740 Washington Street, Chinatown)"": """", ""Eber Electronics (2355 Market Street, Castro)"": """", ""San Francisco General Hospital Medical Center (1001 Potrero Avenue, Potrero Hill)"": ""SF General Hospital is the only Level I Trauma Center serving San Francisco and northern San Mateo County."", ""Pier 3 (The Embarcadero)"": """", ""Carl & Cole Streets (Cole Valley)"": """"}",0,0
Sweet November,2001,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,"{""Citicorp Center (1 Sansome Street at Sutter)"": """", ""Marquee Lofts (1000 Van Ness Avenue at Alice B. Toklas Place)"": """", ""Hotel Majestic (1500 Sutter Street)"": """", ""Foote, Cone & Belding (733 Front Street at Pacific)"": ""The building is called \""Jabe & Dunne Advertising Agency\"" in the movie."", ""Farley's Caf\u00e9 (1315 18th Street Near Missouri)"": """", ""Citicorp Center (1 Sansome Street at Sutter) "": """", ""Christopher's Books (1400 18th Street)"": """", ""Chrissy Field"": ""Chrissy Field was originally an airfield for the Presidio Army Base."", ""Blooms Saloon (18th Street between Missouri and Texas Streets)"": """", ""Mission Dolores Park (Mission District)"": ""The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA.""}",0,0
Woman on the Run,1950,Fidelity Pictures Corporation,Universal Pictures,Norman Foster,Norman Foster,Ann Sheridan,Dennis O'Keefe,Robert Keith,"{""835-865 Market Street at 5th Street"": ""The Emporium, a department store, stood in this location. Bloomingdale's is now located here. "", ""819 Mason Street at Pine"": """", ""1801 Laguna at Bush"": """", ""Former Hall of Justice (750 Kearny Street at Washington)"": """", ""772 Commercial Street at Kearney"": ""Called \""Man Loh's Oriental Roof Garden\"" in the film."", ""Cable Car Signal Box (California Street at Powell Street)"": ""SF Cable Cars are the only moving National Historical Landmark.""}",0,0
When We Rise,2017,Film 49 Productions,Amercian Broadcasting Company,Gus Van Sant,Dustin Lance Black,Guy Pierce,Mary-Louise Parker,Michael Kenneth Williams,"{""Buena Vista Park"": """", ""Castro St. between 17th and 18th St."": """", ""Bay Bridge"": """", ""440 Castro St."": """", ""United Nations Plaza"": """", ""24th St. between Florida and Alabama"": """", ""520 Castro St."": """", ""426 Castro St."": """", ""Women's Building, 3543 18th St."": ""Roma Guy was one of the founders of the Women's Building"", ""Eureka Arts Center, 4400 20th St."": """", ""Powell St. at Market St."": """", ""City Hall"": ""Exterior scenes include re-creating the White Night Riots on May 21, 1979 and the Gay Freedom March. Interior scenes included the wedding ceremony for Roma and Diane which had a few Board of Supervisors in the ceremony. The current Clerk for the Board of Supervisors played herself in one of the scenes filmed in the Chambers."", ""Haight St. at Central"": """", ""Harvey Milk Plaza, 17th and Castro"": """", ""Twin Peaks Bar, 401 Castro"": """", ""Castro Theatre, 429 Castro St."": """"}",0,0
Always Be My Maybe,2019,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,"{""Heart of the City Farmers Market at UN Plaza"": """", ""717 Grant Ave"": """", ""Fairmont Hotel - Penthouse Suite"": ""Keanu Reeves' penthouse suite scenes were filmed at San Francisco's Fairmont Hotel."", ""Kearny btwn Columbus and Washington"": """", ""Fort Point (Presidio, Golden Gate National Recreation Area)"": """", ""California Cable Car Line"": """", ""Palace of Fine Arts (3301 Lyon Street)"": """", ""22nd Ave Home"": """", ""Trax Bar, Haight St"": """", ""26th Ave and El Camino Del mar"": """", ""Contemporary Jewish Museum"": ""When Sasha, Keanu, Jenny and Marcus go for dinner together, the restaurant (known in the film as \""maximal\"") is actually San Francisco's Contemporary Jewish Museum."", ""Golden Gate Music Concourse"": """", ""19th Ave Home"": """", ""de Young Museum/Golden Gate Park"": """", ""Pier 45 - Musee Mechanique"": """", ""Haight St at Masonic"": """", ""Pier 7"": """"}",0,0
Pacific Heights,1990,Morgan Creek Productions,Twentieth Century Fox Film Corporation,John Schlesinger,Daniel Pyne,Melanie Griffith,Matthew Modine,,"{""Texas & 19th Streets (Potrero Hill)"": """", ""Chinatown"": ""First established in the mid-19th Century, SF's Chinatown is the oldest and largest Chinatown in the US."", ""Financial District"": """"}",0,0
Jagged Edge,1985,Columbia Pictures Corp.,Columbia Pictures,Richard Marquand,Joe Eszterhas,Glenn Close,Jeff Bridges,Peter Coyote,"{""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937."", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building.""}",0,0
Chance- Season 1 ep102,2016,TVM Productions,HULU,Lenny Abrahamson,Alexandra Cunningham,Hugh Laurie,Gretchen Mol,Ethan Suplee,"{""Betelnut restaurant, 2030 Union St."": """", ""Warren's Antiques, 375 9th St."": """", ""Duboce St., Duboce Caf\u00e9"": """", ""Potomac and Waller"": """", ""Mason and Pacific"": """", ""YWCA, 940 Powell"": """", ""State Garage, 818 Leavenworth"": """", ""Westin St. Francis"": """", ""John St. between Powell and Mason"": """", ""Sutter Stockton Garage, 444 Stockton"": """", ""Heron and Berwick Alleys"": """"}",0,0
Innerspace,1987,Amblin Entertainment,Warner Bros. Pictures,Joe Dante,Chip Proser,Dennis Quaid,Martin Short,Meg Ryan,"{""Telegraph Hill"": ""Largely untouched by the 1906 earthquake, Telegraph Hill has the most pre-1870 buildings in the city."", ""Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"": ""The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite."", ""Golden Gate Bridge"": ""With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.""}",0,0
Looking,2014,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,"{""Orphan Andy's"": """", ""Fort Funston"": """", ""St. Francis Fountain"": """", ""BART from Civic Center to 24th St."": """", ""2866 24th St."": """", ""Eros"": """", ""Punjab"": """", ""222 Mason St. "": """", ""Golden Gate Bridge"": """", ""Presidio Church at 130 Fisher Loop"": """", ""Tiburon Hiking Trail, Tiburon, CA"": """", ""Folsom Street Fair on Folsom St."": """", ""The Stud"": """", ""Mr. S Leather"": """", ""24th and Church St. "": """", ""Church and Duboce Muni Station"": """", ""Muni line N- Judah"": """", ""Sutro Baths  "": """", ""Golden Gate Park"": """", ""Market & Church St."": """", ""Willy's Barber Shop"": """", ""Jawbone at 99 Rhode Island St. "": """", ""Urban Flowers"": """", ""770 Haight St"": """", ""Doc's Clock"": """", ""Starbucks at 333 O'Farrell St."": """", ""Union Square"": """", ""The Caf\u00e9 at 2369 Market St."": """", ""Castro St. from Market to 18th St."": """", ""Bay Bridge"": """", ""Treasure Island"": """", ""The Fairmont"": """", ""1890 Clay St."": """", ""2000 Folsom"": """", ""Mission Arts Center"": """", ""2413 Harrison St."": """", ""Muddy Waters Coffee House"": """", ""Valencia St. from 16th to 17th"": """", ""601 Buena Vista West"": """", ""Dolores Park"": """", ""Casa Lucas Market at 2934 24th St"": """", ""222 Mason St."": """", ""24th and Church St."": """", ""Sutro Baths"": """", ""Jawbone at 99 Rhode Island St."": """"}",0,0
Dirty Harry,1971,The Malpaso Company,Warner Brothers,Don Siegel,Harry Julian Fink,Clint Eastwood,Harry Guardino,,"{""Forest Hill Station- MUNI"": """", ""St. Peter & Paul's Church (666 Filbert Street, Washington Square)"": ""Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials."", ""Holiday Inn Select Downtown Hotel (750 Kearney Street)"": """", ""Bank of America Building (555 California Street)"": ""The Bank of America Building was the tallest building on the West Coast from 1969-1972, when it was surpassed by the TransAmerica Pyramid. Today, the Bank of America building is the 5th tallest building on the West Coast."", ""San Francisco Drydock (20th and Illinois Streets)"": """", ""Dante Building (1606 Stockton Street at Union)"": """", ""Hall of Justice (850 Bryant Street)"": """", ""California Hall (625 Polk Street, Van Ness/Civic Center)"": """", ""Washington Square, North Beach"": """", ""Mission Dolores Park (Mission District)"": ""The two land plots that comprise the Park were used as a Jewish cemetery until 1894 when San Francisco prohibited all burials within city limits. The graves were moved to Colma, CA."", ""The Embarcadero"": """", ""Mt. Davidson Cross, Mt. Davidson"": ""The cross sits at the highest point in San Francisco (938 feet). This version of the cross was erected in 1934.Though in Dirty Harry the cross is lit at night, the City stopped this practice in 1990."", ""Marina Green, Marina District"": ""Before the 1906 earthquake, the land on which Marina Green sits was a tidal marsh, and rubble from the earthquake was dumped on the site. However, the site was filled in to provide land for the 1915 Panama-Pacific Exhibition."", ""Kezar Stadium, Golden Gate Park"": ""The stadium was demolished and completely rebuilt after sustaining damages in the 1898 Loma Prieta earthquake."", ""Portsmouth Square (Chinatown)"": ""In 1847 the first public school in California was erected on what would become Portsmouth Square.""}",0,0
Sudden Impact,1983,Warner Bros. Pictures,Warner Bros. Pictures,Clint Eastwood,Harry Julian Fink,Clint Eastwood,Sondra Locke,Pat Hingle,"{""The Embarcadero/Ferry Building"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Civic Center Plaza"": """", ""Mark Hopkins Intercontinental Hotel (1 Nob Hill Circle, Nob Hill)"": ""The Top of the Mark lounge and restaurant at the top of the hotel was formerly a penthouse suite."", ""Near Point Lobos, El Camino Del Mar"": """", ""Near Point Lobos, El Camino Del Mar "": """", ""Bowles Franklin Galleries (765 Beach Street, Fisherman's Wharf)"": """", ""Pier 38-40, The Embarcadero"": """", ""Mt. Davidson"": ""Mt. Davidson is highest point in San Francisco (938 feet)."", ""McDonald's Restaurant (701 3rd Street, SOMA)"": """", ""Ferry Plaza"": ""Every hour and half-hour, the clock bell atop the Ferry Building chimes portions of the Westminster Quarters."", ""Fairmont Hotel (950 Mason Street, Nob Hill)"": ""In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room."", ""Hall of Justice (850 Bryant Street)"": """"}",0,0
Sudden Fear,1952,Joseph Kaufmann Pictures,RKO Pictures,David Miller,Lenore J. Coffee,Joan Crawford,Jack Palance,Gloria Grahame,"{""Brocklebank Apartments (1000 Mason Street)"": """", ""The Tamalpais Building (1201 Greenwich Street at Hyde)"": """", ""2800 Scott Street"": """", ""Lombard Street"": ""Lombard Street is not actually the most crooked in SF. That honor goes to Potrero Hill's Vermont Street between 22nd and 23rd.""}",0,0
Foul Play,1978,Paramount Pictures,Paramount Pictures,Colin Higgins,Colin Higgins,Goldie Hawn,Chevy Chase,Burgess Meredith,"{""Potrero Hill Bathhouse & Feed Co. (199 Mississippi Street)"": """", ""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire."", ""Laguna & Sacramento Streets (Pacific Heights)"": """", ""Andrew S. Hallidie Plaza (Market & Powell Streets)"": """", ""24th and Castro Streets (Noe Valley)"": """", ""Fort Mason (Golden Gate National Recreation Area)"": ""Constructed in 1864 as a coastal defense site, Fort Mason went on to serve as an army post for more than 100 years."", ""Sutter & Buchannan Streets"": """", ""Montgomery & Pine Streets (Financial District)"": """", ""Hayes Valley Care (601 Laguna Street, Hayes Valley)"": """", ""Octavia & Hayes Streets (Hayes Valley)"": """", ""Sutter & Baker Streets"": """", ""430 Vallejo Street (Telegraph Hill)"": """", ""Sacramento & Hyde Streets (Nob Hill)"": """", ""Golden Gate & Steiner Streets (Hayes Valley)"": """", ""City Hall"": ""The dome of SF's City Hall is almost a foot taller than that of the US Capitol Building. In 1954, Joe DiMaggio and Marilyn Monroe married at the Beaux Arts-style building."", ""War Memorial Opera House (401 Van Ness Avenue)"": ""In 1945 the United Nations had its first conference at The War Memorial Opera House."", ""California & Larkin Streets (Nob Hill)"": """", ""Asian Art Museum (200 Larkin Street, Civic Center)"": ""The Dalai Lama opened an exhibition on Wisdom and Compassion at the museum in 1991."", ""Flood Building (870 Market Street)"": """", ""Fort Point, Presidio"": ""Built in 1853, Fort Point is the only West Coast fort built by the Union Army. Though the Confederate army planned to attack San Francisco, the commanding Confederate general learned that the war had ended while end route to SF."", ""Fiesta Laundromat (898 S. Van Ness Ave., Mission)"": """", ""Sokoji-Soto Zen Buddhist Temple (1691 Laguna Street)"": """"}",0,0
Fat Man and Little Boy,1989,Paramount Pictures,Paramount Pictures,Roland Joffe,Roland Joffe,Paul Newman,John Cusack,,"{""Postcard Row (Alamo Square, Hayes Valley)"": ""The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.""}",0,0
